e.country_3,e.startdate,num_exhibitions
AUT,1904,2
AUT,1905,294
AUT,1906,488
AUT,1907,349
AUT,1908,605
AUT,1909,510
AUT,1910,856
AUT,1911,336
AUT,1912,390
AUT,1913,473
AUT,1914,316
AUT,1915,152
BEL,1905,156
BEL,1906,54
BEL,1907,160
BEL,1908,631
BEL,1909,218
BEL,1910,174
BEL,1911,146
BEL,1912,146
BEL,1913,914
BEL,1914,1016
CHE,1906,202
CHE,1908,110
CHE,1909,15
CHE,1911,129
CHE,1912,44
CHE,1913,7
CZE,1905,226
CZE,1906,82
CZE,1907,152
CZE,1908,158
CZE,1909,184
CZE,1910,245
CZE,1911,83
CZE,1912,516
CZE,1913,385
CZE,1914,248
DEU,1902,3
DEU,1903,4
DEU,1904,9
DEU,1905,4183
DEU,1906,2561
DEU,1907,1440
DEU,1908,1390
DEU,1909,1179
DEU,1910,1717
DEU,1911,1487
DEU,1912,2142
DEU,1913,2606
DEU,1914,1350
DEU,1915,458
ESP,1912,8
FRA,1904,9
FRA,1905,1124
FRA,1906,1022
FRA,1907,950
FRA,1908,539
FRA,1909,140
FRA,1910,364
FRA,1911,628
FRA,1912,1222
FRA,1913,181
FRA,1914,179
GBR,1905,250
GBR,1906,527
GBR,1907,308
GBR,1908,1809
GBR,1909,1231
GBR,1910,611
GBR,1911,1348
GBR,1912,432
GBR,1913,853
GBR,1914,789
GBR,1915,539
HUN,1905,470
HUN,1906,811
HUN,1907,403
HUN,1908,442
HUN,1909,749
HUN,1910,440
HUN,1911,121
HUN,1912,131
HUN,1913,432
HUN,1914,87
HUN,1915,10
ITA,1905,792
ITA,1906,705
ITA,1907,959
ITA,1908,264
ITA,1909,922
ITA,1910,1001
ITA,1912,814
ITA,1913,213
ITA,1914,1209
ITA,1915,152
JPN,1914,26
LTU,1909,17
NLD,1905,649
NLD,1906,3
NLD,1907,1119
NLD,1908,395
NLD,1909,1311
NLD,1910,506
NLD,1911,513
NLD,1912,1146
NLD,1913,99
NLD,1914,941
NLD,1915,9
POL,1908,39
POL,1912,1
RUS,1905,91
RUS,1906,169
RUS,1907,211
RUS,1908,284
RUS,1909,269
RUS,1910,457
RUS,1911,280
RUS,1912,371
RUS,1913,454
RUS,1914,184
RUS,1915,103
RUS,1916,14
SWE,1909,28
SWE,1910,45
SWE,1911,417
SWE,1913,2
UKR,1908,19
UKR,1909,248
UKR,1910,566
UKR,1911,55
UKR,1913,35
USA,1905,270
USA,1906,2
USA,1908,9
USA,1909,86
USA,1910,202
USA,1911,241
USA,1912,372
USA,1913,1218
USA,1914,270
USA,1915,17
Unknown,1909,124
Unknown,1910,291
Unknown,1911,2
Unknown,1912,5
Unknown,1913,1
Unknown,1914,1
